VIN_IDENTIFIER,AdditionalErrorText,AirBagLocFront,DisplacementCC,DisplacementCI,DisplacementL,Doors,EngineConfiguration,EngineCylinders,EngineHP,EngineHP_to,EngineManufacturer,EngineModel,Make,Manufacturer,Model,ModelYear,PlantCity,PlantCompanyName,PlantCountry,PlantState,PossibleValues,Series,SuggestedVIN,TransmissionSpeeds,TransmissionStyle,Trim,VIN
JT8CD32Z3Y1006698,,1st Row (Driver and Passenger),2997,182.89,3,2,In-Line,6,225,227,Toyota,2JZ-GE,LEXUS,TOYOTA MOTOR CORPORATION,SC,2000,SUSONO,Toyota Motor Corporation - Tahara Plant,JAPAN,SHIZUOKA,,JZZ31L,,,,300,JT8CD32Z3Y1006698
JT8CH32Y7Y1002925,,1st Row (Driver and Passenger),3969,242.2,4,2,V-Shaped,8,290,300,Toyota,1UZ-FE,LEXUS,TOYOTA MOTOR CORPORATION,SC,2000,SUSONO,Toyota Motor Corporation - Tahara Plant,JAPAN,SHIZUOKA,,UZZ30L,,,,400,JT8CH32Y7Y1002925
JT8JZ31C3S0027991,,1st Row (Driver and Passenger),2997,182.89,3,2,In-Line,6,225,227,Toyota,2JZ-GE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1995,TOYOTA CITY,Toyota Motor Corporation - Motomachi Plant,JAPAN,AICHI,,JZZ31L,,,,300,JT8JZ31C3S0027991
,,,,,,,,,,,,,,,,,,,,,,,,,,,
JT8JZ31C8N0006865,,Driver Seat Only,2997,182.89,3,2,In-Line,6,217,227,Toyota,2JZ-GE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1992,TOYOTA CITY,Toyota Motor Corporation - Motomachi Plant,JAPAN,AICHI,,,,,,300,JT8JZ31C8N0006865
JT8CH32Y8X1002317,,1st Row (Driver and Passenger),3969,242.2,4,2,V-Shaped,8,290,300,Toyota,1UZ-FE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1999,SUSONO,"Higashi Fuji Plant, Kanto Auto Works, LTD.",JAPAN,SHIZUOKA,,UZZ30L,,,,300,JT8CH32Y8X1002317
JT8UZ30C4S0043289,,1st Row (Driver and Passenger),3969,242.2,3,2,In-Line,6,250,300,Toyota,1UZ-FE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1995,TOYOTA CITY,Toyota Motor Corporation - Motomachi Plant,JAPAN,AICHI,,UZZ30L,,,,400,JT8UZ30C4S0043289
JT8CH32Y6V1000238,,1st Row (Driver and Passenger),3969,242.2,4,2,V-Shaped,8,290,300,Toyota,1UZ-FE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1997,SUSONO,"Higashi Fuji Plant, Kanto Auto Works, LTD.",JAPAN,SHIZUOKA,,UZZ30L,,,,400,JT8CH32Y6V1000238
JZZ300019366,,,,,,,,,,,,,,,,,,,,,,,,,,,JZZ300019366
JT8JZ31C4P0013329,,1st Row (Driver and Passenger),2997,182.89,3,2,In-Line,6,225,227,Toyota,2JZ-GE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1993,TOYOTA CITY,Toyota Motor Corporation - Motomachi Plant,JAPAN,AICHI,,,,,,300,JT8JZ31C4P0013329
JT8UZ30C5P0026783,,1st Row (Driver and Passenger),3969,242.2,4,2,V-Shaped,8,250,300,Toyota,1UZ-FE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1993,TOYOTA CITY,Toyota Motor Corporation - Motomachi Plant,JAPAN,AICHI,,,,4,Automatic,400,JT8UZ30C5P0026783
JT8UZ30C9S0048469,,1st Row (Driver and Passenger),3969,242.2,3,2,In-Line,6,250,300,Toyota,1UZ-FE,LEXUS,TOYOTA MOTOR CORPORATION,SC,1995,TOYOTA CITY,Toyota Motor Corporation - Motomachi Plant,JAPAN,AICHI,,UZZ30L,,,,400,JT8UZ30C9S0048469
JZZ300012750,,,,,,,,,,,,,,,,,,,,,,,,,,,JZZ300012750
JT8CD32Z6Y1007182,,1st Row (Driver and Passenger),2997,182.89,3,2,In-Line,6,225,227,Toyota,2JZ-GE,LEXUS,TOYOTA MOTOR CORPORATION,SC,2000,SUSONO,Toyota Motor Corporation - Tahara Plant,JAPAN,SHIZUOKA,,JZZ31L,,,,300,JT8CD32Z6Y1007182
